	width	WT_1	WT_2	WT_3	WT_4	TG_1	TG_2	TG_3	TG_4
ENSMUSG00000070891	1359	1	1	0	2	1	4	0	2
ENSMUSG00000070896	465	88	109	164	140	41	49	49	40
ENSMUSG00000070900	533	2	0	0	0	0	0	0	0
ENSMUSG00000070902	2276	0	0	0	0	0	0	0	0
ENSMUSG00000070904	561	0	0	0	0	0	0	0	0
ENSMUSG00000070908	2850	0	0	0	0	0	0	0	0
ENSMUSG00000070923	4174	1557	1619	1442	1212	2156	2249	1828	2133
ENSMUSG00000070933	1318	0	0	0	0	0	0	0	0
ENSMUSG00000070934	1618	619	617	640	713	502	590	497	463
ENSMUSG00000070939	10972	754	825	808	786	1099	1243	887	946
ENSMUSG00000070942	6812	41	39	54	52	144	127	101	140
ENSMUSG00000070943	948	0	0	0	0	0	0	0	0
ENSMUSG00000070953	3814	276	315	323	375	293	353	293	272
ENSMUSG00000070960	1513	213	253	220	286	227	271	186	215
ENSMUSG00000070972	4542	176	185	164	135	118	136	111	99
ENSMUSG00000070977	219	0	0	0	0	0	0	0	0
ENSMUSG00000070979	1513	0	0	0	0	0	0	0	0
ENSMUSG00000070980	1439	1	3	6	3	0	0	0	0
ENSMUSG00000070983	945	0	0	0	0	0	0	0	0
ENSMUSG00000070984	1188	0	0	0	0	0	0	0	0
ENSMUSG00000070985	2128	3	1	0	0	0	0	0	0
ENSMUSG00000070990	2804	0	0	0	0	0	0	0	0
ENSMUSG00000070995	2590	0	0	0	0	0	0	0	0
ENSMUSG00000070997	3720	10	7	3	11	9	11	4	6
ENSMUSG00000070999	1941	0	0	2	5	0	2	2	1
ENSMUSG00000071000	1348	0	0	0	0	0	0	0	0
ENSMUSG00000071001	1452	0	0	0	0	0	0	0	0
ENSMUSG00000071005	867	0	0	0	0	0	1	0	0
ENSMUSG00000071014	659	600	786	699	896	488	607	428	411
ENSMUSG00000071015	1311	1	0	0	0	0	0	0	1
ENSMUSG00000071019	1933	0	0	0	0	0	0	0	0
ENSMUSG00000071033	742	0	0	0	0	0	0	0	0
ENSMUSG00000071035	885	213	228	222	246	174	198	158	188
ENSMUSG00000071036	2005	0	0	0	0	0	0	0	0
ENSMUSG00000071037	972	19	28	34	30	34	41	43	45
ENSMUSG00000071040	381	478	539	569	593	262	276	219	233
ENSMUSG00000071041	1545	5705	6833	6761	6824	1687	2109	1590	1770
ENSMUSG00000071042	4921	0	0	0	0	0	1	0	0
ENSMUSG00000071047	1980	0	0	0	0	0	0	0	0
ENSMUSG00000071052	807	3	2	0	3	0	1	2	0
ENSMUSG00000071054	7268	4298	6053	6509	5960	5677	6223	4082	4231
ENSMUSG00000071064	8944	89	129	133	147	348	450	293	367
ENSMUSG00000071065	1077	0	0	0	0	0	0	0	0
ENSMUSG00000071068	4509	608	863	727	763	489	489	352	459
ENSMUSG00000071072	2217	2677	2911	2685	2225	1077	1224	1110	1112
ENSMUSG00000071073	1384	7	23	16	29	22	31	19	10
ENSMUSG00000071074	2693	460	614	561	764	868	1030	705	675
ENSMUSG00000071076	2878	432	1249	933	1501	1278	1685	1052	481
ENSMUSG00000071078	1175	412	578	564	531	399	461	285	301
ENSMUSG00000071083	387	7	2	0	0	7	8	2	8
ENSMUSG00000071089	2506	0	0	0	0	0	0	0	0
ENSMUSG00000071102	1002	6	5	4	7	2	3	3	0
ENSMUSG00000071103	2740	29	26	30	17	15	20	19	30
ENSMUSG00000071104	2656	0	0	0	0	0	0	0	0
ENSMUSG00000071112	1767	20	20	27	14	14	17	16	25
ENSMUSG00000071113	1839	6	2	1	5	1	2	0	4
ENSMUSG00000071138	1767	0	0	0	0	0	0	0	0
ENSMUSG00000071141	321	3040	3632	3736	3607	1702	2163	1510	1646
ENSMUSG00000071147	1000	0	0	0	0	0	0	0	0
ENSMUSG00000071149	1033	0	0	0	0	0	0	0	0
ENSMUSG00000071150	918	0	0	0	0	0	0	0	0
ENSMUSG00000071151	657	454	613	572	611	489	623	423	447
ENSMUSG00000071158	2000	0	0	0	0	0	0	0	0
ENSMUSG00000071165	857	0	0	0	0	0	0	0	0
ENSMUSG00000071169	174	0	0	0	0	0	0	0	0
ENSMUSG00000071172	5109	7959	8424	7159	6882	7032	8809	6634	6811
ENSMUSG00000071176	9210	105	133	141	194	182	239	160	187
ENSMUSG00000071177	1394	0	0	0	0	0	0	0	0
ENSMUSG00000071178	2415	0	0	0	0	0	0	0	0
ENSMUSG00000071179	1582	0	0	0	0	0	0	0	0
ENSMUSG00000071180	1852	933	878	641	673	1148	1420	1151	1248
ENSMUSG00000071181	1711	5	2	4	5	4	6	1	8
ENSMUSG00000071185	1187	0	0	0	0	0	0	0	0
ENSMUSG00000071192	1981	25	78	63	65	52	64	31	23
ENSMUSG00000071193	408	121	151	145	143	142	201	106	172
ENSMUSG00000071195	513	0	0	0	0	0	0	0	0
ENSMUSG00000071202	1651	0	1	2	0	3	1	4	2
ENSMUSG00000071203	5204	0	0	1	1	30	54	22	25
ENSMUSG00000071204	1443	0	0	0	0	0	0	0	0
ENSMUSG00000071207	843	0	2	4	7	0	1	1	0
ENSMUSG00000071217	435	2	3	2	0	0	2	0	0
ENSMUSG00000071226	17082	6	4	5	4	0	9	7	3
ENSMUSG00000071229	913	0	0	2	2	0	2	2	2
ENSMUSG00000071230	638	1	0	0	0	0	0	0	0
ENSMUSG00000071234	2499	4	3	1	4	0	0	0	0
ENSMUSG00000071235	3608	0	0	1	0	0	0	0	0
ENSMUSG00000071237	501	26	21	27	42	20	41	32	20
ENSMUSG00000071252	4558	47	37	33	33	49	65	54	47
ENSMUSG00000071253	4799	430	381	305	402	473	561	489	472
ENSMUSG00000071256	2672	193	290	263	299	260	331	281	205
ENSMUSG00000071262	3218	5	4	6	7	10	14	8	8
ENSMUSG00000071265	1036	0	0	1	0	0	0	0	0
ENSMUSG00000071266	3504	127	123	73	69	295	281	309	292
ENSMUSG00000071267	5259	468	431	276	270	873	910	895	893
ENSMUSG00000071273	837	111	198	226	304	88	142	88	71
ENSMUSG00000071275	1020	0	0	0	0	0	0	0	0
ENSMUSG00000071276	1017	0	0	0	0	0	0	0	0
ENSMUSG00000071280	336	0	0	0	0	1	1	0	2
ENSMUSG00000071281	4124	298	259	231	237	376	428	377	389
ENSMUSG00000071291	2435	171	149	137	110	253	303	247	274
ENSMUSG00000071294	552	55	75	72	56	58	60	40	42
ENSMUSG00000071295	807	0	0	0	0	0	0	0	0
ENSMUSG00000071302	3859	203	178	132	123	348	381	274	349
ENSMUSG00000071303	456	346	557	532	545	183	217	170	164
ENSMUSG00000071311	960	0	0	0	1	0	1	0	0
ENSMUSG00000071317	1607	0	0	0	0	0	0	0	0
ENSMUSG00000071322	3220	0	0	2	0	0	0	0	0
ENSMUSG00000071324	7188	4	7	15	3	17	7	5	6
ENSMUSG00000071332	2940	2	0	1	1	0	1	1	2
ENSMUSG00000071335	1787	2	0	1	1	3	0	0	2
ENSMUSG00000071337	15750	2599	2418	1866	1998	4557	5391	4506	4773
ENSMUSG00000071340	1183	1	0	0	0	0	0	0	0
ENSMUSG00000071341	2148	6	12	12	16	0	0	0	1
ENSMUSG00000071342	1213	1	3	2	2	18	19	6	13
ENSMUSG00000071343	1002	21	34	36	21	19	18	9	8
ENSMUSG00000071347	1903	7	6	9	7	4	10	6	2
ENSMUSG00000071350	4047	445	357	325	312	447	602	448	509
ENSMUSG00000071356	1142	0	0	0	0	0	0	0	0
ENSMUSG00000071359	3271	685	815	680	579	1020	1188	834	819
ENSMUSG00000071361	2000	0	0	0	0	0	0	0	0
ENSMUSG00000071362	1354	0	0	0	0	0	1	0	0
ENSMUSG00000071369	6262	237	270	288	256	661	821	589	534
ENSMUSG00000071379	1561	924	1373	1309	1237	1672	1860	1214	1323
ENSMUSG00000071392	3590	0	1	1	0	0	1	0	0
ENSMUSG00000071398	3537	16	44	34	37	50	39	28	38
ENSMUSG00000071414	951	539	905	853	932	663	756	509	452
ENSMUSG00000071415	1770	9987	11251	10962	9932	4326	5053	3640	4112
ENSMUSG00000071419	438	412	706	686	729	247	316	187	198
ENSMUSG00000071424	15260	0	0	0	0	0	0	0	0
ENSMUSG00000071428	912	0	0	0	0	0	0	0	0
ENSMUSG00000071434	2801	0	0	0	0	0	0	0	0
ENSMUSG00000071451	554	195	302	286	309	160	224	134	134
ENSMUSG00000071452	1862	0	0	0	0	0	0	0	0
ENSMUSG00000071454	9603	454	608	579	638	761	884	690	655
ENSMUSG00000071456	4131	362	363	362	335	276	353	271	305
ENSMUSG00000071466	261	0	0	0	0	0	0	0	0
ENSMUSG00000071470	1508	0	0	0	0	0	0	0	0
ENSMUSG00000071471	973	0	0	0	0	0	0	0	0
ENSMUSG00000071475	483	2	4	4	3	2	2	1	3
ENSMUSG00000071477	3588	592	906	938	1064	993	1145	663	695
ENSMUSG00000071478	463	0	1	0	3	1	5	0	1
ENSMUSG00000071481	1042	0	0	0	0	0	0	0	0
ENSMUSG00000071489	3187	0	0	0	0	0	0	0	0
ENSMUSG00000071490	1074	0	0	0	0	0	0	0	0
ENSMUSG00000071491	939	0	0	0	0	0	0	0	0
ENSMUSG00000071493	999	0	0	0	0	0	0	0	0
ENSMUSG00000071494	954	0	0	0	0	0	0	0	0
ENSMUSG00000071497	864	164	315	345	356	121	169	103	83
ENSMUSG00000071506	1147	0	0	0	0	0	0	0	0
ENSMUSG00000071510	1089	0	0	0	0	0	0	0	0
ENSMUSG00000071516	393	0	0	0	0	0	1	0	1
ENSMUSG00000071517	876	0	0	0	0	0	0	0	0
ENSMUSG00000071519	822	0	0	0	0	0	0	0	0
ENSMUSG00000071521	860	0	0	0	0	0	0	0	0
ENSMUSG00000071522	1087	0	0	0	0	0	0	0	0
ENSMUSG00000071528	341	107	143	171	148	89	138	99	61
ENSMUSG00000071531	1601	0	0	0	0	0	0	0	0
ENSMUSG00000071532	468	2580	2796	2862	2583	944	1111	806	908
ENSMUSG00000071533	3115	1670	1826	1512	1401	1562	1781	1450	1492
ENSMUSG00000071537	3422	0	1	3	2	0	0	0	1
ENSMUSG00000071540	5547	0	0	0	0	0	0	0	0
ENSMUSG00000071547	1407	1888	3002	3197	3403	1011	1170	896	781
ENSMUSG00000071550	8493	0	0	1	1	0	0	0	0
ENSMUSG00000071551	1730	0	0	0	0	0	0	0	0
ENSMUSG00000071552	963	1	2	4	5	4	2	1	1
ENSMUSG00000071553	3212	1	1	3	0	0	1	1	0
ENSMUSG00000071561	790	0	0	0	0	0	0	0	0
ENSMUSG00000071562	418	0	0	0	0	0	0	0	0
ENSMUSG00000071567	1353	0	0	0	0	0	0	0	0
ENSMUSG00000071568	508	50	57	51	78	14	33	26	27
ENSMUSG00000071573	1627	7	11	10	2	4	9	3	5
ENSMUSG00000071586	165	0	2	0	2	1	0	0	0
ENSMUSG00000071591	1691	0	0	0	0	0	0	0	0
ENSMUSG00000071604	2547	0	0	0	0	0	0	0	0
ENSMUSG00000071613	1762	0	1	0	0	0	0	0	0
ENSMUSG00000071629	1100	0	0	0	0	0	0	0	0
ENSMUSG00000071632	1486	186	264	206	224	322	383	212	248
ENSMUSG00000071633	2254	0	0	0	0	1	1	0	0
ENSMUSG00000071636	5787	12	14	13	12	28	36	27	35
ENSMUSG00000071637	1180	1	0	0	2	0	0	0	1
ENSMUSG00000071640	758	36	44	31	26	73	80	51	66
ENSMUSG00000071644	2600	8857	10509	11319	10386	3005	3609	2545	2971
ENSMUSG00000071645	2747	619	763	821	885	700	826	576	546
ENSMUSG00000071646	4093	7879	9462	9793	9330	11338	12988	8965	9416
ENSMUSG00000071647	3161	699	922	996	1067	1818	2117	1373	1336
ENSMUSG00000071648	1526	34	53	53	66	105	126	89	69
ENSMUSG00000071649	1601	231	384	363	430	808	928	556	533
ENSMUSG00000071650	3862	4416	4992	5207	5552	5499	6979	4919	5276
ENSMUSG00000071652	3889	1180	1605	1635	1775	1218	1450	1017	1114
ENSMUSG00000071653	1444	493	632	645	734	468	645	396	452
ENSMUSG00000071654	829	181	297	247	344	350	445	278	228
ENSMUSG00000071655	1068	1506	2107	2165	2233	1937	2252	1466	1512
ENSMUSG00000071656	2583	18	38	65	51	14	16	9	11
ENSMUSG00000071657	5897	454	733	710	737	1120	1326	747	759
ENSMUSG00000071658	1699	4	0	1	5	0	0	0	1
ENSMUSG00000071659	5726	7988	8449	9090	8824	8587	10128	7192	7900
ENSMUSG00000071660	3984	1413	1440	1342	928	1665	1703	1412	1604
ENSMUSG00000071661	2037	14	18	20	26	42	56	50	45
ENSMUSG00000071662	868	1227	1239	1320	1262	1114	1315	929	1031
ENSMUSG00000071665	3213	0	0	0	0	0	0	0	0
ENSMUSG00000071669	6435	55	96	91	63	181	185	115	137
ENSMUSG00000071671	348	446	457	461	433	167	227	192	201
ENSMUSG00000071679	3635	0	0	0	0	0	0	0	0
ENSMUSG00000071680	213	5	7	7	19	8	12	1	1
ENSMUSG00000071686	1317	0	0	0	0	0	0	0	0
ENSMUSG00000071691	3503	0	0	0	0	0	1	0	0
ENSMUSG00000071708	6010	1036	979	977	999	475	587	540	524
ENSMUSG00000071711	1509	203	441	364	535	338	417	260	239
ENSMUSG00000071713	4764	1	2	0	1	0	2	1	0
ENSMUSG00000071714	4612	0	0	2	0	1	0	0	1
ENSMUSG00000071715	2021	22	56	28	35	13	13	3	12
ENSMUSG00000071716	2227	1	7	1	1	87	131	71	108
ENSMUSG00000071719	3909	2	2	1	2	0	1	3	0
ENSMUSG00000071721	507	0	0	0	0	0	0	0	0
ENSMUSG00000071722	4173	2	2	3	2	2	6	2	3
ENSMUSG00000071723	3781	11	6	11	9	5	5	4	4
ENSMUSG00000071724	2063	4	8	8	17	41	73	40	57
ENSMUSG00000071726	560	0	0	0	0	0	0	0	0
ENSMUSG00000071738	1077	0	0	0	0	0	0	0	0
ENSMUSG00000071745	2862	2	0	7	4	0	3	0	0
ENSMUSG00000071748	4226	91	94	85	85	106	98	114	105
ENSMUSG00000071749	1753	0	0	0	0	0	0	0	0
ENSMUSG00000071750	1007	1	1	6	1	1	0	1	1
ENSMUSG00000071753	3644	0	0	0	0	0	0	0	0
ENSMUSG00000071757	4434	134	173	146	159	577	630	408	423
ENSMUSG00000071763	703	0	0	0	0	0	0	0	0
ENSMUSG00000071764	960	0	0	0	0	0	0	0	0
ENSMUSG00000071766	1078	0	0	0	0	0	0	0	0
ENSMUSG00000071767	1229	0	0	0	0	0	0	0	0
ENSMUSG00000071769	1053	0	0	0	0	0	0	0	0
ENSMUSG00000071770	2298	0	0	0	0	0	0	0	0
ENSMUSG00000071771	2213	0	0	0	0	0	0	0	0
ENSMUSG00000071772	1053	0	0	0	0	0	0	0	0
ENSMUSG00000071773	883	0	0	0	0	0	0	0	0
ENSMUSG00000071788	893	0	0	0	0	0	0	0	0
ENSMUSG00000071793	4163	146	154	137	142	142	244	122	160
ENSMUSG00000071796	5006	2140	1961	1681	1524	1966	2741	1862	2072
ENSMUSG00000071815	841	0	0	0	0	0	0	0	0
ENSMUSG00000071816	602	0	0	0	0	0	0	0	0
ENSMUSG00000071818	1184	0	0	0	0	0	0	0	0
ENSMUSG00000071847	2799	93	118	137	127	41	52	55	38
ENSMUSG00000071855	2801	11	17	21	20	19	27	15	25
ENSMUSG00000071856	14577	0	0	3	0	0	0	0	1
ENSMUSG00000071858	748	0	0	0	0	0	0	0	0
ENSMUSG00000071860	723	0	0	0	0	0	0	0	0
ENSMUSG00000071862	5665	9	18	7	1	16	16	6	13
ENSMUSG00000071866	3508	445	443	368	411	356	348	266	291
ENSMUSG00000071867	447	25	41	43	66	42	46	37	22
ENSMUSG00000071890	2956	0	0	0	0	0	0	0	0
ENSMUSG00000071893	3683	2	1	4	0	1	0	1	5
ENSMUSG00000071909	2548	0	0	0	0	0	0	0	0
ENSMUSG00000071937	2620	0	0	0	0	0	0	0	0
ENSMUSG00000071952	125	0	0	0	0	0	0	0	0
ENSMUSG00000071984	9903	29	71	47	35	3	1	1	0
ENSMUSG00000072049	3062	0	0	0	0	0	0	0	0
ENSMUSG00000072066	2640	134	108	66	56	171	165	152	150
ENSMUSG00000072068	205	0	0	0	0	0	0	1	0
ENSMUSG00000072082	3099	1282	1640	1576	1450	2790	2853	2357	2507
ENSMUSG00000072100	1079	0	0	0	0	0	0	0	0
ENSMUSG00000072109	2323	3	1	1	3	6	8	5	8
ENSMUSG00000072115	1273	1	0	0	0	1	1	2	3
ENSMUSG00000072145	899	0	0	0	0	0	0	0	0
ENSMUSG00000072188	1215	1	0	0	0	0	0	0	0
ENSMUSG00000072214	2127	2	8	5	9	4	9	3	1
ENSMUSG00000072235	1647	1612	2426	2938	3060	1962	2608	1819	1636
ENSMUSG00000072244	4894	42	62	48	35	81	98	86	109
ENSMUSG00000072249	847	0	0	0	0	0	0	0	0
ENSMUSG00000072255	378	355	444	440	448	193	248	191	192
ENSMUSG00000072258	2409	522	550	571	488	521	595	444	490
ENSMUSG00000072259	3069	0	0	0	0	0	0	0	0
ENSMUSG00000072294	1856	0	0	0	0	1	1	0	0
ENSMUSG00000072295	2204	2	0	0	0	1	0	0	0
ENSMUSG00000072324	598	178	251	280	264	93	119	90	104
ENSMUSG00000072381	517	128	138	137	169	20	25	21	29
ENSMUSG00000072387	1258	124	97	128	118	166	188	147	145
ENSMUSG00000072407	432	516	530	543	507	272	302	250	245
ENSMUSG00000072419	1948	0	0	0	0	0	0	0	0
ENSMUSG00000072421	264	97	223	275	396	203	242	140	144
ENSMUSG00000072423	4247	0	2	0	0	2	4	2	0
ENSMUSG00000072432	1002	0	0	1	1	0	0	0	0
ENSMUSG00000072437	3927	110	88	82	50	63	86	76	79
ENSMUSG00000072460	312	1	2	0	0	2	0	0	0
ENSMUSG00000072473	398	0	0	0	0	0	0	0	0
ENSMUSG00000072476	2353	404	591	576	661	673	757	595	569
ENSMUSG00000072477	272	0	0	0	0	0	0	0	0
ENSMUSG00000072479	1744	0	0	0	0	0	0	0	0
ENSMUSG00000072487	7497	0	0	0	0	0	0	0	0
ENSMUSG00000072492	1328	12	11	10	6	7	10	8	5
ENSMUSG00000072494	2508	139	166	134	168	35	77	48	55
ENSMUSG00000072501	6670	1785	1452	1198	1312	2880	3275	2741	2779
ENSMUSG00000072511	2262	0	0	0	0	0	0	0	0
ENSMUSG00000072541	312	1	1	0	0	1	2	1	1
ENSMUSG00000072553	763	149	267	287	247	286	267	174	217
ENSMUSG00000072568	5926	410	483	418	386	62	91	65	49
ENSMUSG00000072571	1227	10	16	24	19	14	26	14	24
ENSMUSG00000072572	3447	10	18	21	28	14	14	16	17
ENSMUSG00000072573	1148	7	11	3	8	6	13	2	7
ENSMUSG00000072574	462	0	0	0	0	0	0	0	0
ENSMUSG00000072575	1257	0	0	0	0	0	0	0	0
ENSMUSG00000072576	210	37	76	76	73	25	41	14	16
ENSMUSG00000072582	3132	604	560	644	574	499	615	426	448
ENSMUSG00000072584	1222	0	0	0	0	1	0	0	0
ENSMUSG00000072589	1411	0	0	0	0	0	0	0	0
ENSMUSG00000072591	3394	0	0	0	0	0	1	0	0
ENSMUSG00000072592	668	0	0	0	0	0	0	0	0
ENSMUSG00000072594	564	18	13	23	19	22	22	20	16
ENSMUSG00000072595	1287	0	0	0	0	0	0	0	0
ENSMUSG00000072596	719	0	0	0	0	1	1	0	1
ENSMUSG00000072598	714	0	0	0	0	0	0	0	0
ENSMUSG00000072599	466	0	0	0	0	0	0	0	0
ENSMUSG00000072600	460	0	0	0	0	0	0	0	0
ENSMUSG00000072601	730	0	0	0	0	0	0	0	0
ENSMUSG00000072605	916	0	0	0	0	0	0	0	0
ENSMUSG00000072612	1233	0	1	3	1	0	0	0	0
ENSMUSG00000072613	884	0	0	0	0	0	0	0	0
ENSMUSG00000072616	476	0	0	0	0	0	0	0	0
ENSMUSG00000072618	2046	83	64	75	59	43	28	24	33
ENSMUSG00000072620	1664	116	188	106	147	1149	1554	998	927
ENSMUSG00000072621	3621	182	180	194	156	585	522	391	529
ENSMUSG00000072623	5389	10	15	15	8	10	6	2	3
ENSMUSG00000072624	1903	0	0	0	0	0	0	0	0
ENSMUSG00000072625	2988	0	0	0	0	0	0	0	0
ENSMUSG00000072640	8146	264	309	239	336	364	477	313	408
ENSMUSG00000072647	3496	73	123	104	93	100	133	88	90
ENSMUSG00000072653	6848	382	374	352	452	343	416	194	330
ENSMUSG00000072660	1821	1	0	0	1	2	1	1	1
ENSMUSG00000072662	1278	0	0	0	0	0	0	0	0
ENSMUSG00000072663	9916	82	65	75	60	38	37	44	39
ENSMUSG00000072664	2670	0	0	0	0	0	0	0	0
ENSMUSG00000072672	5205	0	5	1	7	405	480	329	306
ENSMUSG00000072673	1732	12	27	9	11	26	55	31	22
ENSMUSG00000072674	1282	0	0	0	0	0	0	0	0
ENSMUSG00000072675	4866	3	5	0	3	4	0	1	0
ENSMUSG00000072676	1869	0	0	0	0	0	0	0	0
ENSMUSG00000072677	1207	0	0	0	0	0	0	0	0
ENSMUSG00000072679	2509	1	0	0	0	1	1	2	1
ENSMUSG00000072680	1582	174	278	201	200	229	352	222	263
ENSMUSG00000072683	3950	0	1	1	1	0	0	0	0
ENSMUSG00000072686	397	0	0	0	0	0	0	0	0
ENSMUSG00000072688	748	0	0	0	0	0	0	0	0
ENSMUSG00000072692	752	3511	6008	6007	6071	2049	2546	1571	1491
ENSMUSG00000072693	607	0	0	0	0	0	1	2	0
ENSMUSG00000072694	1746	208	232	199	184	247	265	155	167
ENSMUSG00000072704	3068	417	443	274	312	433	444	350	413
ENSMUSG00000072707	1210	0	0	0	0	0	0	0	0
ENSMUSG00000072708	1065	0	0	0	0	0	0	0	0
ENSMUSG00000072709	1280	0	0	0	0	0	0	0	0
ENSMUSG00000072714	441	1	1	0	1	0	1	0	0
ENSMUSG00000072717	810	0	0	0	0	0	0	0	0
ENSMUSG00000072718	823	0	0	0	0	0	0	0	0
ENSMUSG00000072720	10698	6	11	10	11	2	1	2	3
ENSMUSG00000072721	1113	0	0	0	0	0	0	0	0
ENSMUSG00000072722	2313	0	0	0	0	0	0	0	0
ENSMUSG00000072723	2634	1	0	1	1	1	1	1	3
ENSMUSG00000072726	997	0	0	0	0	0	0	0	0
ENSMUSG00000072731	617	3	1	0	0	0	0	1	0
ENSMUSG00000072738	1089	0	1	0	0	1	0	0	0
ENSMUSG00000072739	1512	0	0	0	0	0	0	0	0
ENSMUSG00000072753	2059	0	0	0	0	0	0	0	0
ENSMUSG00000072754	1183	0	0	0	2	0	0	0	0
ENSMUSG00000072761	594	17	22	18	21	17	47	18	31
ENSMUSG00000072762	2409	117	95	60	70	131	157	112	165
ENSMUSG00000072763	3341	36	37	18	31	100	110	102	104
ENSMUSG00000072768	576	0	0	0	0	0	0	0	0
ENSMUSG00000072769	6859	0	0	0	0	0	0	0	0
ENSMUSG00000072770	3277	140	199	142	140	383	417	267	314
ENSMUSG00000072772	1988	455	698	632	840	595	698	450	371
ENSMUSG00000072774	4730	89	103	62	102	153	169	153	146
ENSMUSG00000072778	2574	0	0	0	0	0	0	0	0
ENSMUSG00000072780	2565	0	0	0	0	0	0	0	0
ENSMUSG00000072789	882	1	4	4	4	1	0	0	1
ENSMUSG00000072791	4378	0	0	0	0	0	0	0	0
ENSMUSG00000072809	2766	4	0	2	6	4	15	10	4
ENSMUSG00000072812	14163	0	1	3	2	0	0	1	3
ENSMUSG00000072813	2476	0	0	0	0	0	0	0	0
ENSMUSG00000072814	1590	0	0	0	0	0	0	0	0
ENSMUSG00000072821	1596	0	0	0	0	0	0	0	0
ENSMUSG00000072822	1897	0	0	0	0	0	0	0	0
ENSMUSG00000072825	6642	167	300	237	283	197	131	95	248
ENSMUSG00000072834	731	0	0	0	0	0	0	0	0
ENSMUSG00000072837	121	128	147	143	82	283	279	199	249
ENSMUSG00000072844	2380	1	11	1	0	19	48	23	23
ENSMUSG00000072845	5715	0	0	0	0	0	0	0	0
ENSMUSG00000072847	2614	170	178	138	142	195	265	212	223
ENSMUSG00000072849	1617	0	0	0	0	0	0	0	0
ENSMUSG00000072852	791	0	0	0	0	0	0	0	0
ENSMUSG00000072872	4740	500	669	662	447	542	592	468	493
ENSMUSG00000072874	1437	0	0	0	0	0	0	0	0
ENSMUSG00000072875	2388	1	1	0	0	0	0	0	1
ENSMUSG00000072878	1747	0	1	0	1	1	1	0	0
ENSMUSG00000072884	2016	4	9	4	3	2	2	2	2
ENSMUSG00000072888	923	0	0	0	0	0	0	0	0
ENSMUSG00000072889	8307	354	328	300	335	464	517	395	445
ENSMUSG00000072893	5616	292	478	365	348	833	967	602	713
ENSMUSG00000072898	471	0	2	3	7	0	1	1	0
ENSMUSG00000072900	67	0	0	0	0	0	0	0	0
ENSMUSG00000072902	2926	0	1	0	0	3	0	0	0
ENSMUSG00000072905	1766	2	2	3	2	1	0	0	0
ENSMUSG00000072915	4429	114	82	72	68	471	682	392	535
ENSMUSG00000072919	1101	3	1	2	4	4	6	5	8
ENSMUSG00000072923	1977	0	0	0	0	0	0	0	0
ENSMUSG00000072929	2026	0	0	0	0	0	0	0	0
ENSMUSG00000072930	2028	0	0	0	0	0	0	0	0
ENSMUSG00000072931	2029	0	0	0	0	0	0	0	0
ENSMUSG00000072934	3587	0	0	0	1	0	3	0	0
ENSMUSG00000072940	210	182	269	276	312	100	113	71	75
ENSMUSG00000072941	3738	1	0	0	0	0	0	0	0
ENSMUSG00000072944	2234	0	0	0	2	0	0	0	0
ENSMUSG00000072945	811	0	0	0	0	0	0	0	0
ENSMUSG00000072946	5929	477	491	489	534	498	606	458	550
ENSMUSG00000072949	1559	28	35	53	37	32	47	23	28
ENSMUSG00000072950	148	0	0	0	0	0	0	0	0
ENSMUSG00000072952	4674	1	0	0	0	0	0	0	0
ENSMUSG00000072955	816	86	79	54	54	151	152	118	145
ENSMUSG00000072962	2074	0	0	0	0	0	0	0	0
ENSMUSG00000072963	2307	0	0	0	0	0	0	0	0
ENSMUSG00000072964	4800	1756	1586	1750	1506	1346	1643	1273	1309
ENSMUSG00000072966	4540	166	141	168	131	138	206	135	103
ENSMUSG00000072968	399	2	0	1	0	0	1	1	2
ENSMUSG00000072969	4247	346	334	368	348	361	494	309	310
ENSMUSG00000072972	2504	16	8	10	8	17	10	17	6
ENSMUSG00000072974	2474	12	13	9	8	14	15	10	5
ENSMUSG00000072978	443	144	256	292	289	196	200	145	151
ENSMUSG00000072980	1778	210	204	178	251	273	332	305	352
ENSMUSG00000072982	1148	0	0	0	0	0	0	0	0
ENSMUSG00000072983	2347	0	0	0	0	0	0	0	0
ENSMUSG00000072995	1596	0	0	0	0	0	0	0	0
ENSMUSG00000072999	1598	2	0	1	2	4	2	1	0
ENSMUSG00000073000	1598	16	38	28	27	53	24	33	41
ENSMUSG00000073001	1923	0	0	0	0	0	0	0	0
ENSMUSG00000073002	2707	44	55	53	68	182	273	139	176
ENSMUSG00000073006	1690	0	0	0	0	0	0	0	0
ENSMUSG00000073007	3160	0	1	0	0	0	0	0	0
ENSMUSG00000073008	5402	256	243	162	169	809	905	749	674
ENSMUSG00000073010	2150	0	0	0	0	0	0	0	0
ENSMUSG00000073012	3662	0	0	0	0	0	1	0	0
ENSMUSG00000073016	2304	199	182	187	172	166	162	111	155
ENSMUSG00000073018	2874	1	2	3	2	12	10	5	11
ENSMUSG00000073027	1383	0	0	0	0	0	0	0	0
ENSMUSG00000073028	354	0	0	2	0	0	0	0	0
ENSMUSG00000073043	2121	0	0	0	1	0	0	0	0
ENSMUSG00000073045	2529	0	0	0	0	0	0	0	0
ENSMUSG00000073051	1794	0	0	0	0	0	0	0	0
ENSMUSG00000073052	2295	0	0	0	0	0	0	0	0
ENSMUSG00000073060	2621	4	36	39	36	30	38	32	18
ENSMUSG00000073062	5619	166	272	257	260	321	329	246	188
